Key	Author	Title	Url	Date	Num Pages	Num Pages (est.)	Publisher	Place	Call Number	Manual Tags	Editor	Translator	Contributor
TJM5X4KH	Auger, Louis-Simon (1772-1829)	Observations sur la nature de la propriété littéraire, présentées à la commission nommée par le roi pour l'examen préparatoire du projet tendant à améliorer... la législation actuelle sur les droits des auteurs et de leurs héritiers…	http://gallica.bnf.fr/ark:/12148/bpt6k9612523w	1826	7	7	impr. de Pillet aîné	Paris	http://catalogue.bnf.fr/ark:/12148/cb30038245f/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"			
CVKIGTBT	Monval, Georges (1845-1910)	Notice sur «le Dépit amoureux» de Molière [signé : Georges Mondain]	http://gallica.bnf.fr/ark:/12148/bpt6k9726131t	1874	8	8	Priant	Paris	http://catalogue.bnf.fr/ark:/12148/cb309739655/PUBLIC	"BNF_2014-03_COM; corpus_Critique; corpus_Molière; etat_NUM-Done; responsable_Alexandre-Critique; responsable_Forestier"			
9QIZZN6N	Des Essarts, Emmanuel (1839-1909)	Le félibre Félix Gras	"http://gallica.bnf.fr/ark:/12148/bpt6k9668916c?rk=85837;2"	1901	10	10	impr. G. Mont-Louis	Clermont-Ferrand	http://catalogue.bnf.fr/ark:/12148/cb303304029/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; responsable_Alexandre-Critique"			
93AB7E9I	Des Essarts, Emmanuel (1839-1909)	Du sentiment de l'admiration : discours prononcé à la distribution des prix du lycée impérial d'Avignon	http://gallica.bnf.fr/ark:/12148/bpt6k9613903t	1865	11	11	Aubanel frères	Avignon	http://catalogue.bnf.fr/ark:/12148/cb30330408c/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_DONE; etat_NUM-Done; modeGallica_texte; responsable_Alexandre-Critique"			
4JS7N5NM	Zyromski, Ernest (1862-1933)	Le message de Pétrarque	"http://gallica.bnf.fr/ark:/12148/bpt6k9784073v?rk=21459;2"	1928	11	11	les frères Douladoure	Toulouse	http://catalogue.bnf.fr/ark:/12148/cb31694331g/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; priorite_2; responsable_Alexandre-Critique"			
QQCDHWBD	Laboullaye, Ferdinand de (1798-1849)	Molière au dix-neuvième siècle : comédie en un acte et en vers, par M. Ferdinand de La Boullaye, représentée pour la première fois, à Paris, sur le théâtre royal de l'Odéon (Second Théâtre Français) le 21 janvier 1844	http://gallica.bnf.fr/ark:/12148/bpt6k9611918n	1844	12	12	Marchant	Paris	http://catalogue.bnf.fr/ark:/12148/cb30705020d/PUBLIC	"BNF_2014-03_COM; corpus_Molière; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; responsable_Forestier"			
W293DZAQ	Saint-Victor, Paul de (1827-1881)	Lamartine	http://gallica.bnf.fr/ark:/12148/bpt6k6366029x	1869	12	12	L. Hachette et Cie	Paris		"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; modeGallica_texte; priorite_1; responsable_Alexandre-Critique"			
W22XJSDK	Aderer, Adolphe (1832-1886)	De la critique littéraire : lettre au directeur de l'« Austrasie, revue de l'Est »	http://obvil-dev.paris-sorbonne.fr/corpus/critique/aderer_de-la-critique/	1864	13	13	Aubry	Paris	http://catalogue.bnf.fr/ark:/12148/cb30003901x/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_DONE; etat_NUM-Done; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"			
EE7J22XM	Lanson, Gustave (1857-1934)	L'oeuvre dramatique de Saint-Georges de Bouhélier	http://gallica.bnf.fr/ark:/12148/bpt6k9611477s	1934	14	14	"impr. A. Maretheux et L. Pactat ; Fasquelle éditeurs"	Paris	http://catalogue.bnf.fr/ark:/12148/cb32347403t/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; modeGallica_texte; priorite_1; responsable_Alexandre-Critique"			
FRBG25RP	Minier, Hippolyte (1813-18…?)	Le songe de Molière, épisode. [Bordeaux, Français, 21 mai 1867.]	http://gallica.bnf.fr/ark:/12148/bpt6k9611481p	1867	14	14	Féret	Bordeaux	http://catalogue.bnf.fr/ark:/12148/cb30950822g/PUBLIC	"BNF_2014-03_COM; corpus_Molière; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; responsable_Forestier"			
X3MFXQ7P	Musset, Alfred de (1810-1857)	Le poëte déchu : fragment inédit. Portrait charge de l'auteur, par lui-même…	http://gallica.bnf.fr/ark:/12148/bpt6k15123239	1896	14	14	imprimé spécialement	s. l.	http://catalogue.bnf.fr/ark:/12148/cb32476629m/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; responsable_Alexandre-Sources"			
SDP7XD8T	Thierry, Édouard (1813-1894)	F. Ponsard : discours prononcé... pour l'inauguration de la statue de Ponsard	http://gallica.bnf.fr/ark:/12148/bpt6k289463/f401	1876	15	15	impr. de J. Claye	Paris	http://catalogue.bnf.fr/ark:/12148/cb31456493m/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-OCR; modeGallica_image; responsable_Alexandre-Critique"			
CCHZUWWB	Viennet, Jean-Pons-Guillaume (1777-1868)	Épître aux muses sur les romantiques	http://gallica.bnf.fr/ark:/12148/bpt6k9610773v	1824	15	15	Ladvocat	Paris	http://catalogue.bnf.fr/ark:/12148/cb31574851w/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; operateur_louis-stella; priorite_2; responsable_Alexandre-Critique"			
KA76WUKV	Bertheroy, Jean (pseud. de Berthe-Corinne Le Barillier)	Aristophane et Molière, à-propos en 1 acte, en vers... [Paris, Comédie-française, 15 janvier 1897.]	http://gallica.bnf.fr/ark:/12148/bpt6k9611715q	1897	16	16	A. Colin	Paris	http://catalogue.bnf.fr/ark:/12148/cb30758519b/PUBLIC	"BNF_2014-03_COM; corpus_Molière; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; responsable_Forestier"			
6GS6CBUV	Bürger, Gottfried August	Lénore, Ballade de Bürger, traduite de l'allemand par Paul Lehr, traducteur des Fables et Poésies de Pfeffel, seconde édition, entièrement refondue	"http://gallica.bnf.fr/ark:/12148/bpt6k131474b?rk=193134;0"	1851	16	16	J. Cherbuliez	Paris	http://catalogue.bnf.fr/ark:/12148/cb30177698w/PUBLIC	"BNF_2014-03_COM; corpus_Traductions; etat_NUM-Done; priorite_3; responsable_Masson"		Lehr, Paul	
QTD995NA	Derème, Tristan (1889-1941)	Ronsard, 1524-1585	"http://gallica.bnf.fr/ark:/12148/bpt6k9629436m?rk=236052;4"	1935	16	16	Éd. des labos Beytout		http://catalogue.bnf.fr/ark:/12148/cb37150897z/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; priorite_2; responsable_Alexandre-Critique"			
BDNMRK6V	Le Blond, Maurice (1877-1944)	Claude Tillier : conférence prononcée le 18 décembre 1910	"http://gallica.bnf.fr/ark:/12148/bpt6k9689865c?rk=150215;2"	1911	16	16	impr. de Mazel et Plancher	Largentière	http://catalogue.bnf.fr/ark:/12148/cb323594908/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; priorite_2; responsable_Alexandre-Critique"			
W4GK8KSV	Millevoye, Charles (1782-1816)	Satire des romans du jour, considérés dans leur influence sur le goût et les moeurs de la nation...	http://gallica.bnf.fr/ark:/12148/bpt6k9610330q	1802	16	16	Capelle	Paris	http://catalogue.bnf.fr/ark:/12148/cb30948384c/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"			
2EXS5BP2	Nettement, Alfred (1805-1869)	Victor Hugo	http://gallica.bnf.fr/ark:/12148/bpt6k96449244	1862	16	16	Poujau, de Laroche et Cie	Paris	http://catalogue.bnf.fr/ark:/12148/cb31010104c/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Done; etat_TODO-Stylage; modeGallica_texte; priorite_2; responsable_Alexandre-Critique"			
