Key	Author	Title	Url	Date	Num Pages	Publisher	Place	Call Number	Manual Tags	Editor	Translator	Contributor
7ZXHJP9Z	"Adam, Edmond (1889-1918); Lebesgue, Philéas (1869-1958)"	"Le néostiche et le verbe intégral : essai sur les tendances poétiques contemporaines ; avec une préface de Philéas Lebesgue"		1919	36	Éditions de la revue littéraire des primaires Les Humbles	Paris	http://catalogue.bnf.fr/ark:/12148/cb316991376/PUBLIC	"corpus_Critique; etat_NUM-Commandée; responsable_Alexandre-Critique"			Lebesgue, Philéas (1869-1958)
2MX8TN4C	Allais, Gustave (1853-1923)	Esquisse d'une méthode générale de préparation et d'explication des auteurs français (licence littéraire et agrégation des lettres)		1884		Delalain frères	Paris	http://catalogue.bnf.fr/ark:/12148/cb300108808/PUBLIC	"BNF_2014-03_COM; corpus_Ecole; etat_NUM-Commandée; priorite_3; responsable_Jey"			
SS5IEXRS	Amiel, Henri-Frédéric (1821-1881)	"Fragments d'un journal intime ; précédés d'une étude par Edmond Scherer, tome I"	https://archive.org/details/fragmentsdunjour01amieuoft	1883	311	"Sandoz et Thuillier ; Desrogis, H. Georg ; J. Sandoz"	"Paris ; Genève ; Neuchâtel"	http://catalogue.bnf.fr/ark:/12148/cb352839724/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"	Scherer, Edmond (1815-1889)		
DC9VHHNQ	Amiel, Henri-Frédéric (1821-1881)	"Fragments d'un journal intime ; précédés d'une étude par Edmond Scherer, tome II"	https://archive.org/details/fragmentsdunjour01amieuoft	1884	331	"Sandoz et Thuillier ; Desrogis, H. Georg ; J. Sandoz"	"Paris ; Genève ; Neuchâtel"	http://catalogue.bnf.fr/ark:/12148/cb352839724/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_2; responsable_Alexandre-Critique"	Scherer, Edmond (1815-1889)		
5B3KBMJD	"Ampère, Jean-Jacques (1800-1864); Mérimée, Prosper (1803-1870)"	Discours prononcés dans la séance publique tenue par l'Académie française pour la réception de M. Ampère, le 18 mai 1848	http://www.academie-francaise.fr/discours-de-reception-de-jean-jacques-ampere	1848	23	typ. de Firmin Didot fr.	Paris	http://catalogue.bnf.fr/ark:/12148/cb38658713r/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_1; responsable_Alexandre-Critique"			
RPTCX3FU	Anonyme	Récit touchant la Comedie jouée par les Jésuites et leurs disciples en la ville de Lyon au mois d’aoust de l’an 1607 […]		1607	32	Abraham Cloquemin	Lyon	http://catalogue.bnf.fr/ark:/12148/cb36392255w/PUBLIC	"BNF_2014-03_COM; corpus_Haine-théâtre; etat_NUM-Commandée; PB-BN-RESERVE; priorite_3; responsable_Lecercle"			
SA7WDBQU	Anonyme	Lettre II et (III) sur cette question : S’il est permis de jouer, à l’opéra, à la comédie et au bal		1702	47	Jean-Paul Douladoure	Toulouse	http://catalogue.bnf.fr/ark:/12148/cb39305753v/PUBLIC	"BNF_2014-03_COM; corpus_Haine-théâtre; etat_NUM-Commandée; PB-BN-ARSENAL; priorite_3; responsable_Lecercle"			
TV7KTPSF	Anonyme	Instructions morales et populaires sur les spectacles et les danses recueillies de quelques sermons prêchés par un missionnaire, augmentée d'une dissertation sur les tragédies qui le représentent dans les collèges		16..	131	Bernard Wilmer	Cologne	http://catalogue.bnf.fr/ark:/12148/cb39305744w/PUBLIC	"BNF_2014-03_COM; corpus_Haine-théâtre; etat_NUM-Commandée; PB-BN-ARSENAL; priorite_3; responsable_Lecercle"			
IHKI2CG5	Bainville, Jacques (1879-1936)	Nouveau dialogue dans le salon d'Aliénor		1926	77	les Artisans imprimeurs, chez Marcelle Lesage	Paris	http://catalogue.bnf.fr/ark:/12148/cb31753118t/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; PB-BN-RESERVE; priorite_1; responsable_Alexandre-Critique"			
B6IH2BKG	Bainville, Jacques (1879-1936)	Esquisses et portraits		1946	48	J. et R. Wittmann	Paris	http://catalogue.bnf.fr/ark:/12148/cb31753064q/PUBLIC	"BNF_2014-03_COM; corpus_Critique; etat_NUM-Commandée; priorite_1; responsable_Alexandre-Critique"			
